Asset1,Asset2,Asset3,Date
0.07739316950041829,-0.007290318553420771,-0.01471592749261727,2023-11-28
0.04029157654995773,0.008887042684069408,-0.04035909566681622,2023-11-29
-0.025880959412349615,-0.09541886763024718,0.0023820209553426586,2023-11-30
0.04547904082949023,0.007245595734060451,0.04234652254775736,2023-12-01
0.019920602755307663,-0.0333142982525761,-0.08997583903638975,2023-12-02
-0.03911842328112777,-0.09221149312160418,-0.10262558400013307,2023-12-03
-0.0461756300016111,-0.0599832758018608,0.0898060974157251,2023-12-04
0.008982359720790726,-0.10105809663347948,0.006889406555661904,2023-12-05
-0.061015493458580226,0.01278088096189372,-0.012567962002289584,2023-12-06
-0.09809285888887491,0.029876940025513596,0.018084251396705126,2023-12-07
-0.00988100565415053,0.1131653997742722,0.06406440849058782,2023-12-08
0.014984189162519798,-0.07196463801176976,0.06532591402905456,2023-12-09
0.006351580821789853,-0.014903088154826993,0.0673737130939834,2023-12-10
0.029224474937124732,0.07661880179068158,0.0304674393302104,2023-12-11
0.1425985269755143,-0.02833085351234446,-0.030675481950480362,2023-12-12
-0.0011606780810446086,-0.11243105287827827,0.0652338386123038,2023-12-13
-0.03431234529270923,-0.014393100420711553,0.0017394679138812116,2023-12-14
-0.022319373317992486,-0.04656685741131499,-0.013680229609455802,2023-12-15
0.07295549835778431,-0.04790936547327597,-0.10040102191791646,2023-12-16
-0.030417129598462878,0.016288191634515947,0.1011050429583103,2023-12-17
